название;url;genre;подписки;просмотры;количество авторов
Lost in Translation;https://www.webtoons.com/en/drama/lost-in-translation/list?title_no=1882;Drama;642476;42800000;1
Safely Endangered;https://www.webtoons.com/en/comedy/safely-endangered/list?title_no=352;Comedy;1100000;389600000;1
Live with Yourself!;https://www.webtoons.com/en/comedy/live-with-yourself/list?title_no=919;Comedy;642104;117000000;2
So You're Raising a Warrior;https://www.webtoons.com/en/fantasy/so-youre-raising-a-warrior/list?title_no=3175;Fantasy;240215;7400000;2
Fictional Skin;https://www.webtoons.com/en/drama/fictional-skin/list?title_no=3272;Drama;178301;4000000;1
Marry Me!;https://www.webtoons.com/en/romance/marry-me/list?title_no=1951;Romance;276509;20400000;1
CARL;https://www.webtoons.com/en/slice-of-life/carl/list?title_no=1216;Slice of life;401722;50500000;1
Cat vs. Dog;https://www.webtoons.com/en/comedy/cat-vs-dog/list?title_no=2961;Comedy;117757;6100000;1
It Rains on Precious Days;https://www.webtoons.com/en/romance/it-rains-on-precious-days/list?title_no=4442;Romance;102958;1000000;2
It's On;https://www.webtoons.com/en/slice-of-life/its-on/list?title_no=2958;Slice of life;102646;1900000;1
Vibe Check!;https://www.webtoons.com/en/comedy/vibe-check/list?title_no=2724;Comedy;68380;2500000;1
Exchange Student;https://www.webtoons.com/en/drama/exchange-student/list?title_no=4288;Drama;91834;721925;1
A DeadbEAT's Meal;https://www.webtoons.com/en/slice-of-life/a-deadbeats-meal/list?title_no=3910;Slice of life;105551;1800000;1
The Dog Diaries;https://www.webtoons.com/en/slice-of-life/the-dog-diaries/list?title_no=3041;Slice of life;84695;2500000;1
Spring Once Again;https://www.webtoons.com/en/drama/spring-once-again/list?title_no=4262;Drama;54864;413640;1
Our House;https://www.webtoons.com/en/slice-of-life/our-house/list?title_no=3789;Slice of life;82363;1200000;2
To Be Ordinary!;https://www.webtoons.com/en/drama/to-be-ordinary/list?title_no=3246;Drama;55985;1500000;1
Kidults;https://www.webtoons.com/en/slice-of-life/kidults/list?title_no=2968;Slice of life;148288;2900000;1
Nevertheless;https://www.webtoons.com/en/romance/nevertheless/list?title_no=2647;Romance;536996;14900000;1
BOO! It's Sex;https://www.webtoons.com/en/slice-of-life/boo-its-sex/list?title_no=1413;Slice of life;595825;88100000;2
Rumor Has It;https://www.webtoons.com/en/romance/rumor-has-it/list?title_no=2967;Romance;194984;7300000;1
Sarah, I'm Sorry:Welcome to Our Galaxy;https://www.webtoons.com/en/tiptoon/sarah-im-sorry-welcome-to-our-galaxy/list?title_no=3665;Informative;142534;1200000;2
AXED;https://www.webtoons.com/en/comedy/axed/list?title_no=1558;Comedy;481705;36400000;2
Brutally Honest;https://www.webtoons.com/en/comedy/brutally-honest/list?title_no=799;Comedy;224816;23500000;1
Yumi's Cells;https://www.webtoons.com/en/slice-of-life/yumi-cell/list?title_no=478;Slice of life;695003;191000000;1
Kind of Love;https://www.webtoons.com/en/romance/kind-of-love/list?title_no=1850;Romance;650323;30600000;1
Small World;https://www.webtoons.com/en/slice-of-life/small-world/list?title_no=1159;Slice of life;873808;265000000;1
